samplingdate	covidcases_DEU	covidcases_DNK	coviddeaths_DEU	coviddeaths_DNK	CHindex_DEU	CHindex_DNK	Sindex_DEU	Sindex_DNK	movement_change_DEU	movement_change_DNK	stilled_users_change_DEU	stilled_users_change_DNK
2020-01-01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-22	0.0	0.0	0.0	0.0	7.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-23	0.0	0.0	0.0	0.0	7.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-01-24	0.0	0.0	0.0	0.0	10.71	0.0	5.56	0.0	0.0	0.0	0.0	0.0
2020-01-25	0.0	0.0	0.0	0.0	10.71	0.0	5.56	0.0	0.0	0.0	0.0	0.0
2020-01-26	0.0	0.0	0.0	0.0	10.71	0.0	5.56	0.0	0.0	0.0	0.0	0.0
2020-01-27	1.0	0.0	0.0	0.0	13.1	0.0	5.56	0.0	0.0	0.0	0.0	0.0
2020-01-28	4.0	0.0	0.0	0.0	13.1	0.0	5.56	0.0	0.0	0.0	0.0	0.0
2020-01-29	4.0	0.0	0.0	0.0	13.1	0.0	5.56	0.0	0.0	0.0	0.0	0.0
2020-01-30	4.0	0.0	0.0	0.0	13.1	0.0	5.56	0.0	0.0	0.0	0.0	0.0
2020-01-31	5.0	0.0	0.0	0.0	13.1	0.0	5.56	0.0	0.0	0.0	0.0	0.0
2020-02-01	8.0	0.0	0.0	0.0	13.1	0.0	5.56	0.0	0.0	0.0	0.0	0.0
2020-02-02	10.0	0.0	0.0	0.0	13.1	0.0	5.56	0.0	0.0	0.0	0.0	0.0
2020-02-03	12.0	0.0	0.0	0.0	13.1	0.0	5.56	0.0	0.0	0.0	0.0	0.0
2020-02-04	12.0	0.0	0.0	0.0	13.1	0.0	5.56	0.0	0.0	0.0	0.0	0.0
2020-02-05	12.0	0.0	0.0	0.0	13.1	0.0	5.56	0.0	0.0	0.0	0.0	0.0
2020-02-06	12.0	0.0	0.0	0.0	13.1	0.0	5.56	0.0	0.0	0.0	0.0	0.0
2020-02-07	13.0	0.0	0.0	0.0	13.1	0.0	5.56	0.0	0.0	0.0	0.0	0.0
2020-02-08	13.0	0.0	0.0	0.0	13.1	0.0	5.56	0.0	0.0	0.0	0.0	0.0
2020-02-09	14.0	0.0	0.0	0.0	13.1	0.0	5.56	0.0	0.0	0.0	0.0	0.0
2020-02-10	14.0	0.0	0.0	0.0	13.1	0.0	5.56	0.0	0.0	0.0	0.0	0.0
2020-02-11	16.0	0.0	0.0	0.0	13.1	0.0	5.56	0.0	0.0	0.0	0.0	0.0
2020-02-12	16.0	0.0	0.0	0.0	16.67	0.0	11.11	0.0	0.0	0.0	0.0	0.0
2020-02-13	16.0	0.0	0.0	0.0	16.67	0.0	11.11	0.0	0.0	0.0	0.0	0.0
2020-02-14	16.0	0.0	0.0	0.0	16.67	0.0	11.11	0.0	0.0	0.0	0.0	0.0
2020-02-15	16.0	0.0	0.0	0.0	16.67	0.0	11.11	0.0	0.0	0.0	0.0	0.0
2020-02-16	16.0	0.0	0.0	0.0	16.67	0.0	11.11	0.0	0.0	0.0	0.0	0.0
2020-02-17	16.0	0.0	0.0	0.0	16.67	0.0	11.11	0.0	0.0	0.0	0.0	0.0
2020-02-18	16.0	0.0	0.0	0.0	16.67	0.0	11.11	0.0	0.0	0.0	0.0	0.0
2020-02-19	16.0	0.0	0.0	0.0	16.67	0.0	11.11	0.0	0.0	0.0	0.0	0.0
2020-02-20	16.0	0.0	0.0	0.0	16.67	0.0	11.11	0.0	0.0	0.0	0.0	0.0
2020-02-21	16.0	0.0	0.0	0.0	16.67	0.0	11.11	0.0	0.0	0.0	0.0	0.0
2020-02-22	16.0	0.0	0.0	0.0	16.67	0.0	11.11	0.0	0.0	0.0	0.0	0.0
2020-02-23	16.0	0.0	0.0	0.0	16.67	0.0	11.11	0.0	0.0	0.0	0.0	0.0
2020-02-24	16.0	0.0	0.0	0.0	16.67	0.0	11.11	0.0	0.0	0.0	0.0	0.0
2020-02-25	16.0	0.0	0.0	0.0	16.67	0.0	11.11	0.0	0.0	0.0	0.0	0.0
2020-02-26	21.0	0.0	0.0	0.0	20.24	0.0	16.67	0.0	0.0	0.0	0.0	0.0
2020-02-27	26.0	1.0	0.0	0.0	20.24	13.1	16.67	11.11	0.0	0.0	0.0	0.0
2020-02-28	53.0	1.0	0.0	0.0	24.4	13.1	19.44	11.11	0.0	0.0	0.0	0.0
2020-02-29	66.0	3.0	0.0	0.0	27.98	13.1	25.0	11.11	0.0	0.0	0.0	0.0
2020-03-01	117.0	4.0	0.0	0.0	27.98	13.1	25.0	11.11	0.07342	0.0	0.33382	0.0
2020-03-01	117.0	4.0	0.0	0.0	27.98	13.1	25.0	11.11	0.0	0.02202	0.0	0.20897
2020-03-02	150.0	4.0	0.0	0.0	27.98	13.1	25.0	11.11	0.0	0.04491	0.0	0.12164
2020-03-02	150.0	4.0	0.0	0.0	27.98	13.1	25.0	11.11	0.0728	0.0	0.1608	0.0
2020-03-03	188.0	6.0	0.0	0.0	27.98	19.05	25.0	20.37	0.03821	0.0	0.16481	0.0
2020-03-03	188.0	6.0	0.0	0.0	27.98	19.05	25.0	20.37	0.0	0.01248	0.0	0.12702
2020-03-04	262.0	10.0	0.0	0.0	27.98	19.05	25.0	20.37	0.01529	0.0	0.17017	0.0
2020-03-04	262.0	10.0	0.0	0.0	27.98	19.05	25.0	20.37	0.0	0.02169	0.0	0.12285
2020-03-05	400.0	10.0	0.0	0.0	27.98	19.05	25.0	20.37	0.01907	0.0	0.16343	0.0
2020-03-05	400.0	10.0	0.0	0.0	27.98	19.05	25.0	20.37	0.0	0.02093	0.0	0.11835
2020-03-06	639.0	23.0	0.0	0.0	27.98	22.62	25.0	25.93	0.0	-0.02334	0.0	0.12275
2020-03-06	639.0	23.0	0.0	0.0	27.98	22.62	25.0	25.93	-0.02612	0.0	0.17898	0.0
2020-03-07	795.0	23.0	0.0	0.0	27.98	22.62	25.0	25.93	0.0	0.03811	0.0	0.18149
2020-03-07	795.0	23.0	0.0	0.0	27.98	22.62	25.0	25.93	0.03586	0.0	0.21563	0.0
2020-03-08	902.0	35.0	0.0	0.0	27.98	22.62	25.0	25.93	0.0	0.00554	0.0	0.22124
2020-03-08	902.0	35.0	0.0	0.0	27.98	22.62	25.0	25.93	0.08539	0.0	0.33257	0.0
2020-03-09	1139.0	90.0	2.0	0.0	30.36	22.62	28.7	25.93	0.0	-0.00777	0.0	0.13857
